Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7, C8",K104K15X7RF5TL2_VIS,6,100nF,
C10,FG14X7R1H224KNT00,1,220nF,
C11,FG14C0G2A562JNT06,1,5.6nF,
"C12, C13, C14",K153K15X7RF53L2_VIS,3,15nF,
C15,K332K15X7RF5TL2,1,3.3nF,
"C5, C6",CP_Radial_D5.0mm_P2.00mm,2,47uFx16V,
C9,K103K10X7RF5UL2_VIS,1,10nF,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
"D10, D3, D4, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,7,1N4148,
D5,LED_D4.0mm,1,LED,
J1,SULLINS_SBH11-PBPC-D07-RA-BK,1,SBH11-PBPC-D07-RA-BK,
J2,CONN_SFH11-xxxC-D07-RA-BK_SUL,1,SFH11-PBPC-D07-RA-BK,
"J3, J4",SAMESKY_SJ3-350103A,2,AudioJack3,
"Q1, Q3",TO-92_Inline,2,BC558,
"Q2, Q4, Q5",TO-92_Inline,3,BC548,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10,
"R10, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,120k,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,12k,
"R12, R20",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10k,
"R13, R25, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
"R14, R15, R3, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,5,100k,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,14k,
"R17, R18",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1M,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,2k,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,470k,
"R22, R23",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,47k,
"R24, R5",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,33k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,39k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,22k,
"RV1, RV2",PDB12-H,2,B100k,
RV3,PDB12-H,1,B10k,
RV4,250k,1,B250k,
"RV5, RV7",PDB12-H,2,B1M,
RV6,PDB12-H,1,B50k,
"U1, U2",DIP-8_W7.62mm_Socket,2,TL072,
