Designator,Mid X,Mid Y,Rotation,Layer
C1,76.4,-38.63,90.0,top
C10,54.4,-84.42,0.0,top
C11,50.275,-49.7046,270.0,top
C12,53.411097,-53.8604,0.0,top
C13,34.4,-50.169997,270.0,top
C14,76.4,-49.629997,270.0,top
C15,79.7434,-65.1467,270.0,top
C2,50.4,-38.63,90.0,top
C3,50.4,-44.13,90.0,top
C4,76.4,-44.13,90.0,top
C5,93.9,-75.42,270.0,top
C6,32.9,-75.42,270.0,top
C7,87.4,-75.17,90.0,top
C8,38.2,-73.324,0.0,top
C9,55.2483,-32.9466,180.0,top
D1,86.4,-47.88,0.0,top
D10,77.09,-77.3169,0.0,top
D2,46.9921,-34.7393,90.0,top
D3,43.21,-48.42,180.0,top
D4,71.59,-79.88,180.0,top
D5,63.3536,-76.0002,0.0,top
D6,51.4,-75.8055,90.0,top
D7,90.5,-98.42,0.0,top
D8,41.21,-51.42,180.0,top
D9,77.1139,-74.42,180.0,top
J1,63.3999,-91.327,180.0,top
J2,63.3999,-27.543,180.0,top
J3,57.4,-37.98,90.0,top
J4,69.4,-37.98,90.0,top
Q1,69.13,-75.4762,0.0,top
Q2,54.4,-68.15,270.0,top
Q3,48.13,-85.42,0.0,top
Q4,56.38,-79.4762,0.0,top
Q5,49.4,-68.15,270.0,top
R1,31.7136,-49.6871,270.0,top
R10,48.4,-74.96,90.0,top
R11,62.86,-79.88,0.0,top
R12,47.4,-93.42,270.0,top
R13,80.4,-88.42,90.0,top
R14,45.4,-74.96,90.0,top
R15,74.4,-63.5172,90.0,top
R16,72.0376,-56.4021,270.0,top
R17,76.4,-32.42,90.0,top
R18,48.4,-56.88,90.0,top
R19,81.94,-50.88,0.0,top
R2,89.3354,-50.88,180.0,top
R20,39.4,-76.42,0.0,top
R21,71.9488,-63.6135,270.0,top
R22,76.7384,-63.9206,270.0,top
R23,74.2583,-69.1528,180.0,top
R24,79.7434,-59.3967,270.0,top
R25,49.9145,-31.7995,90.0,top
R26,83.9,-74.92,90.0,top
R3,74.2605,-71.5754,0.0,top
R4,54.7316,-59.0121,270.0,top
R5,76.6658,-56.42,90.0,top
R6,74.4,-56.42,270.0,top
R7,52.2945,-63.937,180.0,top
R8,63.4,-37.34,270.0,top
R9,63.86,-71.1922,180.0,top
RV1,34.15,-95.88,0.0,top
RV2,85.15,-95.88,0.0,top
RV3,85.15,-44.88,0.0,top
RV4,60.9,-67.617,0.0,top
RV5,34.15,-70.1084,0.0,top
RV6,34.15,-44.88,0.0,top
RV7,85.15,-70.1084,0.0,top
U1,57.4,-46.88,0.0,top
U2,69.4,-46.88,0.0,top
