Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C19",K104K15X7RF5TL2_VIS,2,100n,
"J1, J2",SULLINS_SBH11-PBPC-D07-RA-BK,2,SBH11-PBPC-D07-RA-BK,
J23,SAMESKY_SJ3-350103A,1,Input1,
J24,SAMESKY_SJ3-350103A,1,Input2,
J25,SAMESKY_SJ3-350103A,1,Input3,
J26,SAMESKY_SJ3-350103A,1,Input4,
J3,CONN_SFH11-xxxC-D07-RA-BK_SUL,1,SFH11-PBPC-D07-RA-BK,
OUT1,SAMESKY_MJ-3536N_PJ-316,1,DirectOut1,
OUT2,SAMESKY_MJ-3536N_PJ-316,1,DirectOut2,
OUT3,SAMESKY_MJ-3536N_PJ-316,1,DirectOut3,
OUT4,SAMESKY_MJ-3536N_PJ-316,1,DirectOut4,
"R2, R6, R65, R66",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,100k,
"R41, R67, R68, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,1k,
"RV1, RV3, RV5, RV6",PTV09A-4,4,10k,
"SW1, SW2, SW3, SW4",Switch_SPDT_Adam-Tech_SW-T3-2B-A-A3-S1,4,SW_SPDT,
U5,DIP-14_W7.62mm_Socket,1,TL074,
