Designator,Mid X,Mid Y,Rotation,Layer
C13,112.6389,-48.5,0.0,top
C19,95.1206,-48.5,0.0,top
J1,103.903,-86.03,180.0,top
J2,72.4225,-57.62,90.0,top
J23,77.5117,-41.7,90.0,top
J24,95.0706,-41.7,90.0,top
J25,112.6369,-41.6968,90.0,top
J26,130.202,-41.6975,90.0,top
J3,135.4545,-57.6198,90.0,top
OUT1,75.3658,-28.85,180.0,top
OUT2,92.9162,-28.85,180.0,top
OUT3,110.4818,-28.8532,180.0,top
OUT4,128.0501,-28.8525,180.0,top
R2,93.2706,-63.84,270.0,top
R41,84.11,-41.54,90.0,top
R6,96.6419,-63.84,270.0,top
R65,110.9814,-63.84,90.0,top
R66,114.3527,-63.84,90.0,top
R67,119.2439,-41.54,90.0,top
R68,136.81,-41.54,90.0,top
R7,101.6756,-41.53,90.0,top
RV1,75.005,-81.0,0.0,top
RV3,92.5706,-81.0,0.0,top
RV5,110.1389,-81.0,0.0,top
RV6,127.705,-81.0,0.0,top
SW1,77.505,-55.0,0.0,top
SW2,95.0706,-55.0,0.0,top
SW3,112.6389,-55.0,0.0,top
SW4,130.205,-55.0,0.0,top
U5,103.91,-54.92,0.0,top
