Designator,Footprint,Quantity,Value,LCSC Part #
C1,K103K10X7RF5UL2_VIS,1,10nF,
"C10, C11, C12, C13, C14, C15, C16, C2, C3, C6, C7, C8, C9",K104K15X7RF5TL2_VIS,13,100nF,
C17,K101J15C0GF5TL2_VIS,1,100pF,
"C18, C19",K331K15X7RF53L2,2,330pF,
C20,K105M20X7RF53H5_VIS,1,1uF,
C21,K222K15X7RF5TL2,1,2.2nF,
"C22, C23",K102K10X7RF53L2_VIS,2,1nF,
C24,K474K20X7RF5UH5,1,470nF,
"C4, C5",CP_Radial_D5.0mm_P2.00mm,2,47uFx16V,
D1,LED_D4.0mm,1,LED,
"D2, D3, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,6,1N4148,
"D4, D5",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
J1,SULLINS_SBH11-PBPC-D07-RA-BK,1,SBH11-PBPC-D07-RA-BK,
J2,CONN_SFH11-xxxC-D07-RA-BK_SUL,1,SFH11-PBPC-D07-RA-BK,
"J3, J4, J5",SAMESKY_SJ3-350103A,3,AudioJack3,
"Q1, Q6",TO-92_Inline,2,BC558,
"Q2, Q3, Q4, Q5",TO-92_Inline,4,BC548,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,12k,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,22k,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,120k,
"R12, R13, R14, R15, R16, R19, R2, R20, R22, R23, R24, R26, R30, R32, R37, R38, R5, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,18,100k,
"R17, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,39k,
"R18, R39, R40",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,47k,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,51k,
"R25, R44, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
R27,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,56k,
R28,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,68k,
R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,82k,
R31,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,680,
R33,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,820k,
R34,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,4.7k,
R35,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1M,
R36,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,100,
"R4, R41",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,33k,
R42,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,470k,
R43,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,10k,
"R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10,
"RV1, RV3",PDB12-H,2,B10k,
RV2,PDB12-H,1,B100k,
RV4,250k,1,B250k,
"U1, U2",DIP-8_W7.62mm_Socket,2,TL072,
U3,DIP-14_W7.62mm_Socket,1,40106,
