Designator,Mid X,Mid Y,Rotation,Layer
C1,60.0,-31.0,270.0,top
C10,40.75,-68.5,0.0,top
C11,72.2283,-62.2993,90.0,top
C12,65.7525,-65.7048,180.0,top
C13,65.8757,-79.0036,180.0,top
C14,78.7284,-84.7456,180.0,top
C15,95.85,-64.1895,180.0,top
C16,83.3367,-64.3236,0.0,top
C17,65.75,-69.0,180.0,top
C18,51.5,-59.1444,90.0,top
C19,55.3773,-59.1076,90.0,top
C2,45.5,-58.5,270.0,top
C20,58.8562,-58.6581,90.0,top
C21,58.6142,-52.4359,90.0,top
C22,60.5,-80.5,270.0,top
C23,73.0,-54.5282,180.0,top
C24,88.0,-53.0,270.0,top
C3,50.5639,-88.9716,270.0,top
C4,95.5,-26.75,90.0,top
C5,86.75,-26.75,90.0,top
C6,49.0,-49.0,270.0,top
C7,46.5,-71.0,270.0,top
C8,95.55,-31.5,180.0,top
C9,86.5,-31.5,180.0,top
D1,64.955,-74.605,0.0,top
D2,48.5,-56.5,90.0,top
D3,76.0,-45.5,0.0,top
D4,71.1215,-36.9814,90.0,top
D5,75.3715,-36.9814,90.0,top
D6,39.4814,-72.0662,0.0,top
D7,65.6938,-54.8217,0.0,top
D8,91.5,-55.0,270.0,top
D9,83.7769,-52.9716,90.0,top
J1,64.9999,-89.907,180.0,top
J2,64.9999,-26.123,180.0,top
J3,65.0,-50.3,90.0,top
J4,65.0,-59.5,90.0,top
J5,65.0,-41.1,90.0,top
Q1,73.0,-50.14,180.0,top
Q2,34.86,-56.5,90.0,top
Q3,40.5,-61.5,270.0,top
Q4,54.27,-54.0,180.0,top
Q5,79.73,-50.0,0.0,top
Q6,95.57,-59.45,180.0,top
R1,69.96,-84.5,0.0,top
R10,44.5,-65.04,270.0,top
R11,39.54,-65.5,0.0,top
R12,41.96,-92.5,0.0,top
R13,47.9492,-87.501,90.0,top
R14,87.96,-92.5,180.0,top
R15,87.96,-95.0,180.0,top
R16,33.35,-62.76,90.0,top
R17,33.35,-69.81,90.0,top
R18,77.54,-63.5,0.0,top
R19,81.46,-60.5,0.0,top
R2,57.2781,-32.4382,270.0,top
R20,88.5,-69.44,270.0,top
R21,69.2919,-68.012,270.0,top
R22,90.65,-69.44,270.0,top
R23,92.8,-69.44,270.0,top
R24,84.2,-69.44,270.0,top
R25,52.0,-28.04,90.0,top
R26,86.35,-69.44,270.0,top
R27,69.2965,-78.0178,270.0,top
R28,82.1102,-84.5208,270.0,top
R29,94.95,-69.44,270.0,top
R3,42.0,-55.04,90.0,top
R30,82.0692,-69.4485,270.0,top
R31,88.54,-61.5,180.0,top
R32,62.0949,-67.5359,270.0,top
R33,60.0,-67.54,90.0,top
R34,39.5,-54.96,270.0,top
R35,55.1448,-48.4731,270.0,top
R36,53.0,-48.46,90.0,top
R37,60.8977,-74.7145,270.0,top
R38,55.0,-85.0,180.0,top
R39,62.54,-84.0,0.0,top
R4,54.488,-40.9205,90.0,top
R40,52.0,-35.5,90.0,top
R41,78.8036,-54.6396,180.0,top
R42,96.95,-36.7,90.0,top
R43,94.486,-53.6531,270.0,top
R44,65.46,-36.5,0.0,top
R5,54.6922,-33.4714,90.0,top
R6,67.5,-45.5,0.0,top
R7,47.0,-64.96,270.0,top
R8,78.5,-27.5,90.0,top
R9,81.65,-27.5,90.0,top
RV1,35.7501,-89.9485,0.0,top
RV2,86.7504,-89.9485,0.0,top
RV3,35.7344,-50.2,0.0,top
RV4,88.0,-48.5125,0.0,top
U1,53.5,-67.0,0.0,top
U2,53.69,-78.19,0.0,top
U3,75.69,-73.92,0.0,top
