Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",CP_Radial_D16.0mm_P7.50mm,6,4600uF_electrolytic,
"C10, C7, C8, C9",CP_Radial_D5.0mm_P2.50mm,4,1uF_electrolytic,
"D1, D2, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N4007,
D5,LED_D3.0mm,1,LED,
"HS1, HS2",Heatsink_AAVID_Extruded_531002B02100G_34.9x12.7mm_H25.4mm,2,Heatsink,
J1,BarrelJack_Horizontal,1,Barrel_Jack,
"J2, J3, J4",CONN_70553-xxxx_03_MOL,3,705530002,
R1,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,3.3k,
"R2, R3",R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,2,300,
SW5,Switch_Rocker_PSU_1,1,SW_SPST,
U1,TO-220-3_Vertical,1,LM7812_TO220,
U2,TO-220-3_Vertical,1,LM7912_TO220,
