Designator,Mid X,Mid Y,Rotation,Layer
C1,144.75,-67.9,0.0,top
C10,173.8,-63.05,270.0,top
C2,162.914491,-85.45,0.0,top
C3,144.75,-103.0,0.0,top
C4,162.914491,-67.9,0.0,top
C5,144.75,-85.45,0.0,top
C6,162.914491,-103.0,0.0,top
C7,151.2,-114.260225,90.0,top
C8,158.9,-114.35,270.0,top
C9,134.1,-62.960225,90.0,top
D1,133.0,-88.66,270.0,top
D2,155.92,-121.5,0.0,top
D3,133.0,-75.58,90.0,top
D4,175.0,-75.58,270.0,top
D5,165.73,-128.9666,180.0,top
HS1,184.0,-80.8,90.0,top
HS2,124.0,-80.8,90.0,top
J1,124.775,-130.788616,0.0,top
J2,180.966,-130.5,90.0,top
J3,180.966,-117.7667,90.0,top
J4,180.966,-105.0334,90.0,top
R1,172.0,-121.5,180.0,top
R2,126.7,-110.98,270.0,top
R3,120.5,-110.98,270.0,top
SW5,148.5,-128.9666,90.0,top
U1,128.15,-80.8,90.0,top
U2,179.9,-80.8,270.0,top
