Designator,Footprint,Quantity,Value,LCSC Part #
C1,K103K10X7RF5UL2_VIS,1,10nF,
"C10, C11, C2, C3, C6, C7, C8, C9",K104K15X7RF5TL2_VIS,8,100nF,
"C12, C13, C17",MKS02_02.5WX07.0HX04.6L_WIM,3,33nF_Film,
"C14, C15",K474K20X7RF5UH5,2,470nF,
"C16, C19",K222K15X7RF5TL2,2,2.2nF,
C18,MKS02_05.5WX10.0HX04.6L_WIM,1,1uF_Film,
"C20, C21",FKP02_02.5WX07.0HX04.6L_WIM,2,1nF_Film,
C22,MKS02_02.5WX07.0HX04.6L_WIM,1,10nF_Film,
"C4, C5",CP_Radial_D5.0mm_P2.00mm,2,47uFx16V,
D1,LED_D4.0mm,1,LED,
"D2, D3, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,6,1N4148,
"D4, D5",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
J1,CONN_SFH11-xxxC-D07-RA-BK_SUL,1,SFH11-PBPC-D07-RA-BK,
"J2, J4, J5",SAMESKY_SJ3-350103A,3,AudioJack3,
J3,SULLINS_SBH11-PBPC-D07-RA-BK,1,SBH11-PBPC-D07-RA-BK,
"Q1, Q4",TO-92_Inline,2,BC558,
"Q2, Q3, Q5, Q6, Q7",TO-92_Inline,5,BC548,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,12k,
"R10, R30, R31, R37, R38",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,5,22k,
"R11, R39",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,120k,
"R12, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10k,
"R13, R21, R23, R25, R28, R29, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,7,1k,
R14,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,910k,
R15,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,470,
R16,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330,
"R17, R18, R20",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,47k,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,470k,
"R2, R24, R34, R35, R36, R5, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,7,100k,
R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,27k,
"R27, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,33k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,39k,
"R32, R33",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1M,
"R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10,
RV1,PDB12-H,1,B1k,
RV2,250k,1,B250k,
RV3,PDB12-H,1,B5k,
RV4,PDB12-H,1,B100k,
RV5,PDB12-H,1,B1M,
"U1, U2, U3",DIP-8_W7.62mm_Socket,3,TL072,
