Designator,Mid X,Mid Y,Rotation,Layer
C1,58.5,-42.0,0.0,top
C10,56.0,-68.0,180.0,top
C11,72.1199,-82.6786,270.0,top
C12,77.0,-54.75,270.0,top
C13,77.0,-49.25,270.0,top
C14,39.5,-92.0207,270.0,top
C15,90.2,-67.4793,90.0,top
C16,93.9,-67.9556,270.0,top
C17,75.7642,-82.8713,270.0,top
C18,65.0,-83.25,90.0,top
C19,93.459,-96.7419,0.0,top
C2,78.75,-67.9617,0.0,top
C20,85.7021,-89.6262,180.0,top
C21,81.5501,-88.75,90.0,top
C22,82.75,-93.0,0.0,top
C3,48.7022,-82.7466,270.0,top
C4,95.5,-26.5,0.0,top
C5,34.5,-26.5,0.0,top
C6,80.8306,-30.2556,180.0,top
C7,75.6685,-44.2709,0.0,top
C8,73.5,-53.5,270.0,top
C9,39.5,-27.0,90.0,top
D1,64.9908,-74.6091,0.0,top
D2,65.5,-42.0,0.0,top
D3,49.5214,-55.422,270.0,top
D4,62.42,-30.5,0.0,top
D5,84.08,-26.0,0.0,top
D6,80.0096,-54.4586,90.0,top
D7,93.19,-59.5,180.0,top
D8,96.8,-53.2,90.0,top
D9,97.1,-93.1954,90.0,top
J1,64.9999,-26.123,180.0,top
J2,45.1,-57.0,180.0,top
J3,64.9999,-89.907,180.0,top
J4,65.0,-37.094,90.0,top
J5,84.9,-57.0,0.0,top
Q1,58.6229,-49.057,0.0,top
Q2,90.478,-53.1644,270.0,top
Q3,36.0,-54.23,270.0,top
Q4,86.0,-67.5,90.0,top
Q5,93.7697,-92.3458,90.0,top
Q6,80.4325,-83.3296,0.0,top
Q7,59.0,-83.36,0.0,top
R1,59.9682,-75.6581,90.0,top
R10,64.9492,-50.038,0.0,top
R11,64.9494,-47.8544,0.0,top
R12,82.1874,-43.601,90.0,top
R13,80.0879,-46.0783,90.0,top
R14,82.1635,-36.5284,90.0,top
R15,32.8801,-51.4425,270.0,top
R16,38.54,-49.0,180.0,top
R17,71.5,-61.0,270.0,top
R18,65.0355,-66.1921,0.0,top
R19,72.0,-47.46,90.0,top
R2,59.5,-37.0,90.0,top
R20,45.0,-92.54,90.0,top
R21,53.5,-84.04,90.0,top
R22,42.5,-92.54,90.0,top
R23,75.5,-62.8436,270.0,top
R24,94.3,-52.4,90.0,top
R25,82.194,-66.8998,90.0,top
R26,81.4923,-96.5145,180.0,top
R27,82.1764,-73.9051,90.0,top
R28,62.46,-68.5,0.0,top
R29,91.96,-57.0,0.0,top
R3,62.5,-44.5,0.0,top
R30,86.96,-63.5,0.0,top
R31,64.5373,-70.7198,180.0,top
R32,69.2715,-76.1781,90.0,top
R33,89.6,-94.54,90.0,top
R34,58.46,-86.5,0.0,top
R35,69.291,-83.2722,270.0,top
R36,87.0246,-94.6197,90.0,top
R37,79.0,-91.46,270.0,top
R38,75.1562,-86.4809,0.0,top
R39,94.14,-62.1,0.0,top
R4,73.96,-30.5,180.0,top
R5,55.5,-36.5,270.0,top
R6,44.7642,-51.611,0.0,top
R7,69.5627,-47.5822,270.0,top
R8,51.96,-30.5,180.0,top
R9,87.5,-29.0,180.0,top
RV1,35.7499,-46.7284,0.0,top
RV2,62.5,-64.0,0.0,top
RV3,35.7499,-87.0,0.0,top
RV4,86.75,-46.7284,0.0,top
RV5,86.75,-87.0,0.0,top
U1,75.7457,-37.19,0.0,top
U2,52.5,-74.934,0.0,top
U3,75.7449,-74.9276,0.0,top
