Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C2, C3, C4, C7, C8",K104K15X7RF5TL2_VIS,8,100nF,
"C10, C11, C12, C13",MKS02_05.5WX10.0HX04.6L_WIM,4,1uF_Film,
C21,K103K10X7RF5UL2_VIS,1,10nF,
"C5, C6",CP_Radial_D5.0mm_P2.00mm,2,47uFx16V,
C9,R82EC1220AA50J,1,2.2n_Film,
"D1, D2",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
"D3, D4, D5",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
J1,SULLINS_SBH11-PBPC-D07-RA-BK,1,SBH11-PBPC-D07-RA-BK,
J2,CONN_SFH11-xxxC-D07-RA-BK_SUL,1,SFH11-PBPC-D07-RA-BK,
Q1,TO-92L_Inline_Wide,1,PNP,
Q2,TO-92L_Inline_Wide,1,NPN,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,10R,
"R10, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,1M,
"R11, R12, R14, R15, R19, R20, R21, R23, R25, R26, R27, R3, R30, R5, R58, R59, R6, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,18,100k,
"R13, R29",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,47k,
"R16, R17, R24",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,15k,
R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,68k,
R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,10k,
"R28, R57, R60",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
R31,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,47R,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,33k,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1.5k,
"RV1, RV2, RV4",PTV09A-4,3,B100k,
RV12,PTV09A-4,1,A1M,
"RV3, RV6, RV7",PTV09A-4,3,A100k,
RV5,250k,1,B250k,
RV8,CT-6EP,1,1k_Trim,
"TH1, TH2, TH3",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,3,10k,
"U2, U4, U5",DIP-14_W10.16mm,3,TL074,
U3,DIP-14_W10.16mm,1,40106,
