Designator,Mid X,Mid Y,Rotation,Layer
C1,125.85,-159.1,0.0,top
C10,134.8,-109.25,0.0,top
C11,157.55,-142.25,0.0,top
C12,134.75,-141.75,0.0,top
C13,125.2,-165.45,270.0,top
C14,143.7,-125.55,0.0,top
C15,125.9,-92.2,0.0,top
C2,125.8,-125.55,0.0,top
C21,162.4,-66.35,0.0,top
C3,143.6,-92.15,0.0,top
C4,149.25,-67.1,180.0,top
C5,143.8949,-62.8,0.0,top
C6,149.5551,-62.75,0.0,top
C7,139.8,-47.0,90.0,top
C8,143.55,-159.1,180.0,top
C9,122.0,-150.41,270.0,top
D1,148.95,-45.18,270.0,top
D2,144.1,-45.18,90.0,top
D3,125.15,-151.2444,270.0,top
D4,158.65,-176.01,0.0,top
D5,158.65,-179.6,180.0,top
J1,134.7998,-178.5256,180.0,top
J2,134.7989,-33.9421,180.0,top
Q1,134.73,-74.0,0.0,top
Q2,134.75,-77.7,180.0,top
R1,144.1,-55.75,270.0,top
R10,139.6,-76.19,90.0,top
R11,124.76,-95.25,180.0,top
R12,126.5,-100.0,270.0,top
R13,123.35,-100.0,270.0,top
R14,137.24,-102.95,180.0,top
R15,110.9,-138.99,270.0,top
R16,108.3,-138.99,90.0,top
R17,135.31,-136.5,0.0,top
R18,110.9,-146.93,90.0,top
R19,124.41,-120.05,0.0,top
R2,148.95,-55.75,270.0,top
R20,159.15,-149.22,270.0,top
R21,138.55,-142.09,270.0,top
R22,155.9,-149.41,270.0,top
R23,124.36,-116.8,0.0,top
R24,144.99,-87.25,0.0,top
R25,130.1,-109.29,270.0,top
R26,124.74,-106.85,0.0,top
R27,124.74,-110.0,0.0,top
R28,145.16,-132.35,0.0,top
R29,125.46,-140.4,0.0,top
R3,108.3,-68.14,90.0,top
R30,125.46,-143.55,0.0,top
R31,152.4,-178.3,90.0,top
R4,113.5,-68.14,270.0,top
R5,110.9,-68.14,270.0,top
R57,139.85,-112.6,90.0,top
R58,147.46,-151.6,180.0,top
R59,147.46,-148.45,180.0,top
R6,113.5,-103.3,90.0,top
R60,147.46,-145.3,180.0,top
R7,110.9,-103.26,90.0,top
R8,131.61,-41.45,180.0,top
R9,111.6,-172.4,0.0,top
RV1,108.4,-62.255,0.0,top
RV12,156.2,-62.255,0.0,top
RV2,108.4,-97.4725,0.0,top
RV3,156.2,-97.47,0.0,top
RV4,108.4,-132.69,0.0,top
RV5,108.4,-167.9575,0.0,top
RV6,156.2,-132.685,0.0,top
RV7,156.1,-167.9,0.0,top
RV8,108.6,-178.85,0.0,top
TH1,117.89,-172.4,180.0,top
TH2,117.93,-170.1,180.0,top
TH3,117.86,-175.2,180.0,top
U2,134.75,-125.5933,0.0,top
U3,134.75,-58.72,0.0,top
U4,134.75,-92.1567,0.0,top
U5,134.73,-159.03,0.0,top
